period,naver_index,keyword
2025-04-01,93.76736,약사의 혼잣말
2025-05-01,91.55493,약사의 혼잣말
2025-06-01,82.03429,약사의 혼잣말
2025-07-01,100.0,약사의 혼잣말
2025-08-01,60.53968,약사의 혼잣말
2025-09-01,37.43594,약사의 혼잣말
2025-10-01,39.24054,약사의 혼잣말
2025-11-01,35.85322,약사의 혼잣말
2025-12-01,34.50294,약사의 혼잣말
2026-01-01,38.70804,약사의 혼잣말
2026-02-01,29.13774,약사의 혼잣말
2026-03-01,26.89572,약사의 혼잣말
2025-07-01,100.0,약사 보조사
2026-03-01,50.0,약사 보조사
2025-04-01,100.0,약사 되는법
2025-05-01,88.66909,약사 되는법
2025-06-01,77.49183,약사 되는법
2025-07-01,70.3284,약사 되는법
2025-08-01,69.48338,약사 되는법
2025-09-01,68.81121,약사 되는법
2025-10-01,67.5821,약사 되는법
2025-11-01,67.06356,약사 되는법
2025-12-01,75.7826,약사 되는법
2026-01-01,51.60361,약사 되는법
2026-02-01,52.31419,약사 되는법
2026-03-01,58.80545,약사 되는법
2025-04-01,97.40672,약사법
2025-05-01,86.45144,약사법
2025-06-01,82.24397,약사법
2025-07-01,92.61709,약사법
2025-08-01,83.38184,약사법
2025-09-01,100.0,약사법
2025-10-01,79.57131,약사법
2025-11-01,79.67716,약사법
2025-12-01,78.83037,약사법
2026-01-01,77.16327,약사법
2026-02-01,57.2109,약사법
2026-03-01,76.89865,약사법
2025-04-01,97.58867,약사 연봉
2025-05-01,92.67866,약사 연봉
2025-06-01,81.33845,약사 연봉
2025-07-01,79.31154,약사 연봉
2025-08-01,85.77669,약사 연봉
2025-09-01,74.24427,약사 연봉
2025-10-01,69.54394,약사 연봉
2025-11-01,81.6355,약사 연봉
2025-12-01,100.0,약사 연봉
2026-01-01,80.79678,약사 연봉
2026-02-01,78.19325,약사 연봉
2026-03-01,66.36379,약사 연봉
2025-04-01,81.49772,약사몰
2025-05-01,92.77769,약사몰
2025-06-01,63.70045,약사몰
2025-07-01,75.38774,약사몰
2025-08-01,100.0,약사몰
2025-09-01,92.09619,약사몰
2025-10-01,97.82234,약사몰
2025-11-01,74.25191,약사몰
2025-12-01,70.34309,약사몰
2026-01-01,69.03493,약사몰
2026-02-01,56.42331,약사몰
2026-03-01,58.96913,약사몰
2025-04-01,79.58964,진약사몰
2025-05-01,99.41327,진약사몰
2025-06-01,62.10595,진약사몰
2025-07-01,73.1322,진약사몰
2025-08-01,71.31648,진약사몰
2025-09-01,100.0,진약사몰
2025-10-01,66.02208,진약사몰
2025-11-01,61.25538,진약사몰
2025-12-01,86.15122,진약사몰
2026-01-01,73.86126,진약사몰
2026-02-01,61.18247,진약사몰
2026-03-01,64.46674,진약사몰
2025-04-01,82.11473,약사 전망
2025-05-01,60.17997,약사 전망
2025-06-01,66.92913,약사 전망
2025-07-01,75.36557,약사 전망
2025-08-01,61.41732,약사 전망
2025-09-01,55.90551,약사 전망
2025-10-01,52.30596,약사 전망
2025-11-01,58.26771,약사 전망
2025-12-01,94.48818,약사 전망
2026-01-01,100.0,약사 전망
2026-02-01,76.15298,약사 전망
2026-03-01,91.56355,약사 전망
2025-04-01,95.81047,약사 월급
2025-05-01,100.0,약사 월급
2025-06-01,82.79301,약사 월급
2025-07-01,79.85037,약사 월급
2025-08-01,87.88029,약사 월급
2025-09-01,84.13965,약사 월급
2025-10-01,98.65336,약사 월급
2025-11-01,73.76558,약사 월급
2025-12-01,85.93516,약사 월급
2026-01-01,69.22693,약사 월급
2026-02-01,60.74812,약사 월급
2026-03-01,62.44389,약사 월급
2025-04-01,97.83896,약사
2025-05-01,100.0,약사
2025-06-01,86.62716,약사
2025-07-01,80.74822,약사
2025-08-01,82.32833,약사
2025-09-01,71.6626,약사
2025-10-01,68.30486,약사
2025-11-01,69.98954,약사
2025-12-01,66.75961,약사
2026-01-01,54.78099,약사
2026-02-01,48.71616,약사
2026-03-01,67.82851,약사
2025-04-01,84.75121,약사공론
2025-05-01,84.38377,약사공론
2025-06-01,92.28884,약사공론
2025-07-01,100.0,약사공론
2025-08-01,86.30773,약사공론
2025-09-01,98.73947,약사공론
2025-10-01,76.10104,약사공론
2025-11-01,86.8742,약사공론
2025-12-01,87.28247,약사공론
2026-01-01,77.81576,약사공론
2026-02-01,59.17325,약사공론
2026-03-01,74.15667,약사공론
2025-04-01,47.77062,대한약사회
2025-05-01,37.66546,대한약사회
2025-06-01,35.4942,대한약사회
2025-07-01,59.27889,대한약사회
2025-08-01,80.59468,대한약사회
2025-09-01,83.67017,대한약사회
2025-10-01,100.0,대한약사회
2025-11-01,62.22965,대한약사회
2025-12-01,45.7014,대한약사회
2026-01-01,27.06709,대한약사회
2026-02-01,31.6789,대한약사회
2026-03-01,28.62042,대한약사회
